,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 turkey_1981,1981, Turkey, Modern Folk Trio and Aysegül, Dönme Dolap, 18, 9,,,,, TRT, Ali Kocatepe, Ali Kocatepe
 united kingdom_1981,1981, United Kingdom, Bucks Fizz, Making Your Mind Up, 1, 136,,,,, BBC, John Danter, Andy Hill
 yugoslavia_1981,1981, Yugoslavia, Seid-Memic Vajta, Leila, 15, 35,,,,, JRT, Ranko Boban, Ranko Boban
 austria_1982,1982, Austria, Mess, Sonntag, 9, 57,,,,, ORF, Michael Mell, Rudolf Leve
 belgium_1982,1982, Belgium, Stella, Si Tu Aimes Ma Musique, 4, 96,,,,, RTBF," Fred Bekky, Rony Brack, Bobott", Jo May
 cyprus_1982,1982, Cyprus, Anna Vissi, Mono I Agapi, 5, 85,,,,, CyBC, Anna Vissi, Anna Vissi
 denmark_1982,1982, Denmark, Brixx, Video-video, 17, 5,,,,, DR, Jens Brixtofte, Jens Brixtofte
 finland_1982,1982, Finland, Kojo, Nuku Pommiin, 18, 0,,,,, YLE," Jim Pembroke, Otto Donne", Juice Leskinen
 germany_1982,1982, Germany, Nicole, Ein Bißchen Frieden, 1, 161,,,,, ARD, Ralph Siegel, Bernd Meinunger
 ireland_1982,1982, Ireland, The Duskeys," Here Today, Gone Tomorrow", 11, 49,,,,, RTÉ, Sally Keating, Sally Keating
 israel_1982,1982, Israel, Avi Toledano, Hora, 2, 100,,,,, IBA, Avi Toledano, Yoram Tahar-Lev
 luxembourg_1982,1982, Luxembourg, Svetlana, Cours Après Le Temps, 6, 78,,,,, CLT, Cyril Assous, Michel Jouveaux
 netherlands_1982,1982, Netherlands, Bill van Dijk, Jij En Ik, 16, 8,,,,, NOS, Dick Bakker, Liselore Gerritsen
 norway_1982,1982, Norway, Jahn Teigen and Anita Skorgan, Adieu, 12, 40,,,,, NRK, Jahn Teigen, Herodes Falsk
 portugal_1982,1982, Portugal, Doce, Bem-bom, 13, 32,,,,, RTP," António A. Pinho, Tózé Brito, Pedro Brito"," António A. Pinho, Tózé Brito, Pedro Brito"
 spain_1982,1982, Spain, Lucía, Él, 10, 52,,,,, TVE, Francisco Cepero, Ignacio Román
 sweden_1982,1982, Sweden, Chips, Dag Efter Dag, 8, 67,,,,, SVT, Lasse Holm, Monica Forsberg
 switzerland_1982,1982, Switzerland, Arlette Zola, Amour On T'aime, 3, 97,,,,, SSR SRG, Alain Morisod, Pierre Alain
 turkey_1982,1982, Turkey, Neço, Hani, 15, 20,,,,, TRT, Olcayto Ahmet Tuğsuz, Faik Tuğsuz
 united kingdom_1982,1982, United Kingdom, Bardo, One Step Further, 7, 76,,,,, BBC, Simon Jefferies, Simon Jefferies
 yugoslavia_1982,1982, Yugoslavia, Aska, Halo Halo, 14, 21,,,,, JRT, Aleksandar Sanja Ilić, Miro Zec
 austria_1983,1983, Austria, Westend, Hurricane, 9, 53,,,,, ORF, Peter Vieweger," Heli Deinboek, Heinz Nessizius"
 belgium_1983,1983, Belgium, Pas de Deux, Rendez-vous, 18, 13,,,,, BRT, Walter Verdin," Paul Peyskens, Walter Verdin"
 cyprus_1983,1983, Cyprus, Stavros and Constantina, I Agapi Akoma Zi, 16, 26,,,,, CyBC, Stavros Sideras, Stavros Sideras
 denmark_1983,1983, Denmark, Gry Johansen, Kloden Drejer, 17, 16,,,,, DR," F. Gernyx, L. Christensen, C. Jacobsen, B. Cross"," F. Gernyx, L. Christensen, C. Jacobsen, B. Cross"
 finland_1983,1983, Finland, Ami Aspelund, Fantasiaa, 11, 41,,,,, YLE, Kari Kuusamo, Kaisu Liuhala
 france_1983,1983, France, Guy Bonnet, Vivre, 8, 56,,,,, A2F, Guy Bonnet, Fulbert Cant
 germany_1983,1983, Germany, Hoffmann und Hoffmann, Rücksicht, 5, 94,,,,, ARD, Michael Reinecke, Volker Lechtenbrink
 greece_1983,1983, Greece, Christie, Mou Les, 14, 32,,,,, ERT, Antonis Plessas, Sofia Fildisi
 israel_1983,1983, Israel, Ofra Haza, Hi, 2, 136,,,,, IBA, Avi Toledano, Ehud Manor
 italy_1983,1983, Italy, Riccardo Fogli, Per Lucia, 11, 41,,,,, RAI, Maurizio Fabrizio," Riccardo Fogli, Vincenzo Spampinato"
 luxembourg_1983,1983, Luxembourg, Corinne Hermès, Si La Vie Est Cadeau, 1, 142,,,,, CLT, Jean-Pierre Millers, Alain Garcia
 netherlands_1983,1983, Netherlands, Bernadette, Sing Me A Song, 7, 66,,,,, NOS, Piet Souer, Martin Duiser
 norway_1983,1983, Norway, Jahn Teigen, Do Re Mi, 9, 53,,,,, NRK," Anita Skorgan, Jahn Teigen"," Jahn Teigen, Herodes Falsk"
 portugal_1983,1983, Portugal, Armando Gama, Esta Balada Que Te Dou, 13, 33,,,,, RTP, Armando Gama, Armando Gama
 spain_1983,1983, Spain, Remedios Amaya, ¿quién Maneja Mi Barca?, 19, 0,,,,, TVE, José Miguel Evóras, Isidro Muñoz
 sweden_1983,1983, Sweden, Carola Häggkvist, Främling, 3, 126,,,,, SVT, Lasse Holm, Monica Forsberg
 switzerland_1983,1983, Switzerland, Mariella Farré, Io Così Non Ci Sto, 15, 28,,,,, SSR SRG," Thomas Gonzenbach, Remo Kessler", Nella Martinetti
 turkey_1983,1983, Turkey, Çetin Alp and the Short Wave, Opera, 19, 0,,,,, TRT, Buğra Uğur, Aysel Gürel
 united kingdom_1983,1983, United Kingdom, Sweet Dreams, I'm Never Giving Up, 6, 79,,,,, BBC," Ron Roker, Jan Pulsford, Phil Wigger"," Ron Roker, Jan Pulsford, Phil Wigger"
 yugoslavia_1983,1983, Yugoslavia, Danijel, Dzuli, 4, 125,,,,, JRT, Danijel Popović, Mario Mihaljević
 austria_1984,1984, Austria, Anita, Einfach Weg, 19, 5,,,,, ORF, Brigitte Seuberth, Walter Müller
 belgium_1984,1984, Belgium, Jacques Zegers, Avanti La Vie, 5, 70,,,,, RTBF, Henri Seroka, Jacques Zegers
 cyprus_1984,1984, Cyprus, Andy Paul, Anna Mari-elena, 15, 31,,,,, CyBC, Andy Paul, Andy Paul
 denmark_1984,1984, Denmark, Hot Eyes, Det' Lige Det, 4, 101,,,,, DR, Søren Bundgaard, Keld Heick
 finland_1984,1984, Finland, Kirka, Hengaillaan, 9, 46,,,,, YLE, Jukka Siikavire, Jussi Tuominen
 france_1984,1984, France, Annick Thoumazeau, Autant D'amoureux Que D'étoiles, 8, 61,,,,, A2F, Vladimir Kosma, Charles Level
 germany_1984,1984, Germany, Mary Roos, Aufrecht Geh'n, 13, 34,,,,, ARD, Michael Reinecke, Michael Kunze
 ireland_1984,1984, Ireland, Linda Martin, Terminal '3', 2, 137,,,,, RTÉ, Johnny Logan, Johnny Logan
 italy_1984,1984, Italy, Alice and Battiato, I Treni Di Tozeur, 5, 70,,,,, RAI, Franco Battiato," Rosario Consentino, Giusto Pio"
 luxembourg_1984,1984, Luxembourg, Sophie Carle, 100% D'amour, 10, 39,,,,, CLT, Jean-Pierre Goussaud," Jean Beriat, Patrick James"
 netherlands_1984,1984, Netherlands, Maribelle, Ik Hou Van Jou, 13, 34,,,,, NOS," Peter van Asten, Richard Debois"," Peter van Asten, Richard Debois"
 norway_1984,1984, Norway, Dollie de Luxe, Lenge Leve Livet, 17, 29,,,,, NRK," Benedicte Adrian, Ingrid Bjørnov"," Benedicte Adrian, Ingrid Bjørnov"
 portugal_1984,1984, Portugal, Maria Guinot, Silêncio E Tanta Gente, 11, 38,,,,, RTP, Maria Guinot, Maria Guinot
 spain_1984,1984, Spain, Bravo," Lady, Lady", 3, 106,,,,, TVE, Miguel Blasco, Amaya Saizar
 sweden_1984,1984, Sweden, Herrey's, Diggi-loo Diggy-ley, 1, 145,,,,, SVT, Torgny Söderberg, Britt Lindeborg
 switzerland_1984,1984, Switzerland, Rainy Day, Welche Farbe Hat Der Sonnenschein, 16, 30,,,,, SSR SRG, Günter Loose, Günter Loose
 turkey_1984,1984, Turkey," Bes Yil Önce, On Yil Sonra", Halay, 12, 37,,,,, TRT, Selçuk Başar, Ülkü Aker
 united kingdom_1984,1984, United Kingdom, Belle and the Devotions, Love Games, 7, 63,,,,, BBC," Paul Curtis, Graham Sacher"," Paul Curtis, Graham Sacher"
 yugoslavia_1984,1984, Yugoslavia, Vlado and Isolda, Ciao Amore, 18, 26,,,,, JRT, Slobodan Bucevac, Milan Perić
 austria_1985,1985, Austria, Gary Lux, Kinder Dieser Welt, 8, 60,,,,, ORF," Mick Jackson, Geoff Bastow", Michael Kunze
 belgium_1985,1985, Belgium, Linda Lepomme, Laat Me Nu Gaan, 19, 7,,,,, BRT, Pieter Verlinden, Bert Vivier
 cyprus_1985,1985, Cyprus, Lia Vissi, To Katalava Arga, 16, 15,,,,, CyBC, Lia Vissi, Lia Vissi
 denmark_1985,1985, Denmark, Hot Eyes, Sku' Du Spør Fra No'n, 11, 41,,,,, DR, Søren Bundgaard, Keld Heick
 finland_1985,1985, Finland, Sonja Lumme, Eläköön Elämä, 9, 58,,,,, YLE, Petri Laaksonen, Veli-Pekka Lehto
 france_1985,1985, France, Roger Bens, Femme Dans Ses Rêves Aussi, 10, 56,,,,, A2F, Didier Pascalis, Didier Pascalis
 germany_1985,1985, Germany, Wind, Für Alle, 2, 105,,,,, ARD, Hanne Haller, Hanne Haller
 greece_1985,1985, Greece, Takis Biniaris, Miazoume, 16, 15,,,,, ERT, Takis Biniaris, Maro Bizani
 ireland_1985,1985, Ireland, Maria Christian, Wait Until The Weekend Comes, 6, 91,,,,, RTÉ, Brendan J. Graham, Brendan J. Graham
 israel_1985,1985, Israel, Izhar Cohen, Olé Olé, 5, 93,,,,, IBA, Kobi Oshrat, Hamutal Ben Ze'ev
 italy_1985,1985, Italy, Al Bano and Romina Power," Magic, Oh Magic", 7, 78,,,,, RAI," Dario Farina, Michael Hoffmann",  Cristiano Minellono
 luxembourg_1985,1985, Luxembourg," Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts,Chris Roberts"," Children, Kinder, Enfants", 13, 37,,,,, CLT, Ralph Siegel," Jean Beriat, Bernd Meinunger"
 norway_1985,1985, Norway, Bobbysocks, La Det Swinge, 1, 123,,,,, NRK, Rolf Løvland, Rolf Løvland
 portugal_1985,1985, Portugal, Adelaïde," Penso Em Ti, Eu Sei", 18, 9,,,,, RTP, Tózé Brito," Adelaïde Ferreira, Luis Fernando"
 spain_1985,1985, Spain, Paloma San Basilio, La Fiesta Terminó, 14, 36,,,,, TVE, Juan Carlos Calderón, Juan Carlos Calderón
 sweden_1985,1985, Sweden, Kikki Danielsson, Bra Vibrationer, 3, 103,,,,, SVT, Lasse Holm, Ingela 'Pling' Forsman
 switzerland_1985,1985, Switzerland, Mariella Farré and Pino Gasparini, Piano Piano, 12, 39,,,,, SSR SRG, Anita Kerr, Trudi Müller-Bosshard
 turkey_1985,1985, Turkey, MFÖ, Di Dai Di Dai Dai (a'sik Oldum), 14, 36,,,,, TRT, MFÖ, MFÖ
 united kingdom_1985,1985, United Kingdom, Vikki, Love Is..., 4, 100,,,,, BBC," James Kaleth, Vikki Watson"," James Kaleth, Vikki Watson"
 austria_1986,1986, Austria, Timna Brauer, Die Zeit Ist Einsam, 18, 12,,,,, ORF, Peter Janda, Peter Cornelius
 belgium_1986,1986, Belgium, Sandra Kim, J'aime La Vie, 1, 176,,,,, RTBF," Jean-P. Furnémont, Angelo Crisci", Rosario Atria
 cyprus_1986,1986, Cyprus, Elpida, Tora Zo, 20, 4,,,,, CyBC, Peter Yiannakis," Peter Yiannakis, Fivos Gavris"
 denmark_1986,1986, Denmark, Lise Haavik and Trax, Du Er Fuld Af Løgn, 6, 77,,,,, DR, John Hatting, John Hatting
 finland_1986,1986, Finland, Kari Kuivalainen, Päivä Kahden Ihmisen, 15, 22,,,,, YLE, Kari Kuivalainen, Kari Kuivalainen
 france_1986,1986, France, Cocktail Chic, Européennes, 17, 13,,,,, A2F," Georges Cost, Michel Costa"," Georges Cost, Michel Costa"
 germany_1986,1986, Germany, Ingrid Peters, Über Die Brücke Geh'n, 8, 62,,,,, ARD, Hans Blum, Hans Blum
 iceland_1986,1986, Iceland, Icy, Gleðibankinn, 16, 19,,,,, RÚV, Magnús Eiríksson, Magnús Eiríksson
 ireland_1986,1986, Ireland, Luv Bug, You Can Count On Me, 4, 96,,,,, RTÉ, Kevin Sheerin, Kevin Sheerin
 israel_1986,1986, Israel, Moti Galadi and Sarai Tzuriel, Yavoh Yom, 19, 7,,,,, IBA, Yoram Zadok, Moti Galadi
 luxembourg_1986,1986, Luxembourg, Sherisse Laurence, L'amour De Ma Vie, 3, 117,,,,, CLT, Rolf Soja," Frank Dostal, Alain Garcia"
 netherlands_1986,1986, Netherlands, Frizzle Sizzle, Alles Heeft Ritme, 13, 40,,,,, NOS," Peter Schön, Rob Ten Bokum", Peter Schön
 norway_1986,1986, Norway, Ketil Stokkan, Romeo, 12, 44,,,,, NRK, Ketil Stokkan, Ketil Stokkan
 portugal_1986,1986, Portugal, Dora, Não Sejas Mau Para Mim, 14, 28,,,,, RTP," Guilherme Inês,  Zé Da Ponte, Luís Manuel de Oliveira Fernandes"," Guilherme Inês, Zé Da Ponte, Luís Manuel de Oliveira Fernandes"
 spain_1986,1986, Spain, Cadillac, Valentino, 10, 51,,,,, TVE, José María Guzmán, José María Guzmán
 sweden_1986,1986, Sweden, Lasse Holm and Monica Törnell, E' De' Det Här Du Kallar Kärlek, 5, 78,,,,, SVT, Lasse Holm, Lasse Holm
 switzerland_1986,1986, Switzerland, Daniela Simons, Pas Pour Moi, 2, 140,,,,, SSR SRG, Atilla Şereftuğ, Nella Martinetti
 turkey_1986,1986, Turkey, Klips ve Onlar, Halley, 9, 53,,,,, TRT, Melih Kibar, İlhan İrem
 united kingdom_1986,1986, United Kingdom, Ryder, Runner In The Night, 7, 72,,,,, BBC, Brian Wade, Maureen Darbyshire
 yugoslavia_1986,1986, Yugoslavia, Doris Dragovic, Zeljo Moja, 11, 49,,,,, JRT, Zrinko Tutić, Zrinko Tutić
 austria_1987,1987, Austria, Gary Lux, Nur Noch Gefühl, 20, 8,,,,, ORF, Kenneth Westmore, Stefanie Werger
 belgium_1987,1987, Belgium, Liliane Saint-Pierre, Soldiers Of Love, 11, 56,,,,, BRT," Gyuri Spies, Marc de Coen", Liliane Saint-Pierre
 cyprus_1987,1987, Cyprus, Alexia, Aspro Mavro, 7, 80,,,,, CyBC, Andreas Papapaulou, Maria Papapaulou
 denmark_1987,1987, Denmark, Anne-Catherine Herdorf and Bandjo, En Lille Melodi, 5, 83,,,,, DR, Helge Engelbrecht, Jacob Jonia
 finland_1987,1987, Finland, Vicky Rosti, Sata Salamaa, 15, 32,,,,, YLE, Petri Laaksonen, Veli-Pekka Lehto
 france_1987,1987, France, Christine Minier, Les Mots D'amour N'ont Pas De Dimanche, 14, 44,,,,, A2F, Gerard Curci, Marc Minier
 germany_1987,1987, Germany, Wind, Laß Die Sonne In Dein Herz, 2, 141,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1987,1987, Greece, Bang, Stop!, 10, 64,,,,, ERT," Thanos Kalliris, Vassilis Dertillis"," Thanos Kalliris, Vassilis Dertillis"
 iceland_1987,1987, Iceland, Halla Margarét, Hægt Og Hljótt, 16, 28,,,,, RÚV, Valgeir Guðjónsson, Valgeir Guðjónsson
 ireland_1987,1987, Ireland, Johnny Logan, Hold Me Now, 1, 172,,,,, RTÉ, Johnny Logan, Johnny Logan
 israel_1987,1987, Israel, Datner and Kushnir, Shir Habatlanim, 8, 73,,,,, IBA, Zohar Laskov, Zohar Laskov
 italy_1987,1987, Italy, Umberto Tozzi and Raf, Gente Di Mare, 3, 103,,,,, RAI," Umberto Tozzi, Raf",  Giancarlo Bigazzi
 luxembourg_1987,1987, Luxembourg, Plastic Bertrand, Amour Amour, 21, 4,,,,, CLT," Plastic Bertrand, Alec Mansion"," Plastic Bertrand, Alec Mansion"
 netherlands_1987,1987, Netherlands, Marcha, Rechtop In De Wind, 5, 83,,,,, NOS, Peter Koelewijn, Peter Koelewijn
 norway_1987,1987, Norway, Kate Gulbrandsen, Mitt Liv, 9, 65,,,,, NRK, Rolf Løvland," Rolf Løvland, Hanne Krogh"
 portugal_1987,1987, Portugal, Nevada, Neste Barco à Vela, 18, 15,,,,, RTP," Alfredo Azinheira, Jorge Mendes", Alfredo Azinheira
 spain_1987,1987, Spain, Patricia Kraus, No Estás Solo, 19, 10,,,,, TVE," Rafael Martínez, Rafael Trabucchelli", Patricia Kraus
 sweden_1987,1987, Sweden, Lotta Engberg, Boogaloo, 12, 50,,,,, SVT, Mikael Wendt, Christer Lundh
 switzerland_1987,1987, Switzerland, Carole Rich, Moitié Moitié, 17, 26,,,,, SSR SRG, Jean-Jacques Egli, Jean-Jacques Egli
 turkey_1987,1987, Turkey, Seyyal Tanner and Lokomotif, Sarkim Sevgi üstüne, 22, 0,,,,, TRT, Olcayto Ahmet Tuğsuz, Olcayto Ahmet Tuğsuz
 united kingdom_1987,1987, United Kingdom, Rikki, Only The Light, 13, 47,,,,, BBC, Richard Peebles, Richard Peebles
 yugoslavia_1987,1987, Yugoslavia, Novi Fosili, Ja Sam Za Ples, 4, 92,,,,, JRT, Rajko Dujmić, Stevo Cvikić
 austria_1988,1988, Austria, Wilfried, Lisa Mona Lisa, 21, 0,,,,, ORF," Klaus Kofler, Ronnie Herboltzheimer, Wilfried Scheutz"," Klaus Kofler, Ronnie Herboltzheimer, Wilfried Scheutz"
 belgium_1988,1988, Belgium, Reynaert, Laissez Briller Le Soleil, 18, 5,,,,, RTBF," Reynaert, Dany Willem"," Reynaert, Philippe Anciaux"
 denmark_1988,1988, Denmark, Hot Eyes, Ka' Du Se Hva' Jeg Sa', 3, 92,,,,, DR, Søren Bundgaard, Keld Heick
 finland_1988,1988, Finland, Boulevard, Nauravat Silmät Muistetaan, 20, 3,,,,, YLE, Pepe Willberg, Kirsti Willberg
 france_1988,1988, France, Gérard Lenorman, Chanteur De Charme, 10, 64,,,,, A2F, Gérard Lénorman," Gérard Lénorman, Claude Lemesle"
 germany_1988,1988, Germany, Maxi and Chris Garden, Lied Für Einen Freund, 14, 48,,,,, ARD, Ralph Siegel, Bernd Meinunger
 greece_1988,1988, Greece, Aphroditi Fryda, Kloun, 17, 10,,,,, ERT, Dimitris Sakislis, Dimitris Sakislis
 iceland_1988,1988, Iceland, Beathoven, Sókrates, 16, 20,,,,, RÚV, Sverrir Stormsker, Sverrir Stormsker
 ireland_1988,1988, Ireland, Jump the Gun, Take Him Home, 8, 79,,,,, RTÉ, Peter Eades, Peter Eades
 israel_1988,1988, Israel, Yardena Arazi, Ben Adam, 7, 85,,,,, IBA, Boris Dimitshtein, Ehud Manor
 italy_1988,1988, Italy, Luca Barbarossa, Ti Scrivo, 12, 52,,,,, RAI, Luca Barbarossa, Luca Barbarossa
 luxembourg_1988,1988, Luxembourg, Lara Fabian, Croire, 4, 90,,,,, CLT, Jacques Cardona, Alain Garcia
 netherlands_1988,1988, Netherlands, Gerard Joling, Shangri-la, 9, 70,,,,, NOS, Peter de Wijn, Peter de Wijn
 norway_1988,1988, Norway, Karoline Krüger, For Vår Jord, 5, 88,,,,, NRK, Erik Hillestad, Anita Skorgan
 portugal_1988,1988, Portugal, Dora, Voltarei, 18, 5,,,,, RTP," José Calvário, José Niza"," José Calvário, José Niza"
 spain_1988,1988, Spain, La Década, La Chica Que Yo Quiero (made In Spain), 11, 58,,,,, TVE, Enrique Piero, Francisco Dondiego
 sweden_1988,1988, Sweden, Tommy Körberg, Stad I Ljus, 12, 52,,,,, SVT, Py Bäckman, Py Bäckman
 switzerland_1988,1988, Switzerland, Céline Dion, Ne Partez Pas Sans Moi, 1, 137,,,,, SSR SRG, Atilla Şereftuğ, Nella Martinetti
 turkey_1988,1988, Turkey, MFÖ, Sufi (hey Ya Hey), 15, 37,,,,, TRT, MFÖ, Mazhar Alanson
 united kingdom_1988,1988, United Kingdom, Scott Fitzgerald, Go, 2, 136,,,,, BBC, Julie Forsyth, Julie Forsyth
 yugoslavia_1988,1988, Yugoslavia, Srebrna Krila, Mangup, 6, 87,,,,, JRT, Rajko Dujmić," Stevo Cvikić, Rajko Dujmić"
 austria_1989,1989, Austria, Thomas Forstner, Nur Ein Lied, 5, 97,,,,, ORF, Dieter Bohlen, Joachim Horn-Bernges
 belgium_1989,1989, Belgium, Ingeborg, Door De Wind, 19, 13,,,,, BRT, Stef Bos, Stef Bos
 cyprus_1989,1989, Cyprus, Fanny Polymeri and Yiannis Savvidakis, Apopse As Vrethoume, 11, 51,,,,, CyBC, Marios Meletiou, Efi Meletiou
 denmark_1989,1989, Denmark, Birthe Kjær, Vi Maler Byen Rød, 3, 111,,,,, DR, Søren Bundgaard, Keld Heick
 finland_1989,1989, Finland, Anneli Saaristo, La Dolce Vita, 7, 76,,,,, YLE, Matti Puurtinen, Turkka Mali
 france_1989,1989, France, Nathalie Pâque, J'ai Volé La Vie, 8, 60,,,,, A2F," Guy Mattéoni, G.G. Candy", Sylvain Lebel
 germany_1989,1989, Germany, Nino de Angelo, Flieger, 14, 46,,,,, ARD, Dieter Bohlen, Joachim Horn-Benges
 greece_1989,1989, Greece, Marianna, To Diko Sou Asteri, 9, 56,,,,, ERT," Yannis Kyris, Mariana Efstratiou", Villy Sanianu
 iceland_1989,1989, Iceland, Daníel Augúst Haraldsson, Það Sem Enginn Sér, 22, 0,,,,, RÚV, Valgeir Guðjónsson, Valgeir Guðjónsson
 ireland_1989,1989, Ireland, Kiev Connolly and the Missing Passengers, The Real Me, 18, 21,,,,, RTÉ, Kiev Connolly, Kiev Connolly
 israel_1989,1989, Israel, Gili ve Galit, Derech Ha'melech, 12, 50,,,,, IBA, Shaike Paikov, Shaike Paikov
 italy_1989,1989, Italy, Anna Oxa and Fausto Leali, Avrei Voluto, 9, 56,,,,, RAI, Franco Fasano," Franco Ciani, Franco Berlincioni"
 luxembourg_1989,1989, Luxembourg, Park Café, Monsieur, 20, 8,,,,, CLT," M. Parke, G. Waltzing"," B. Loncheval, Y. Lacomblez, M. Parke"
 netherlands_1989,1989, Netherlands, Justine Pelmelay, Blijf Zoals Je Bent, 15, 45,,,,, NOS, Jan Kisjes," C. Bergman, G. Hessing, A. Mol, E. van Prehn, E. Veerhoff"
 norway_1989,1989, Norway, Britt Synnøve Johansen, Venners Nærhet, 17, 30,,,,, NRK, Inge Enoksen, Leiv N. Grøtte
 portugal_1989,1989, Portugal, Da Vinci, Conquistador, 16, 39,,,,, RTP, Ricardo, Pedro Luis
 spain_1989,1989, Spain, Nina, Nacida Para Amar, 6, 88,,,,, TVE, Juan Carlos Calderón, Juan Carlos Calderón
 sweden_1989,1989, Sweden, Tommy Nilsson, En Dag, 4, 110,,,,, SVT," Tim Norell, Ola Håkansson, Alexander Bard"," Tim Norell, Ola Håkansson, Alexander Bard"
 switzerland_1989,1989, Switzerland, Furbaz, Viver Senza Tei, 13, 47,,,,, SSR SRG, Marie Louise Werth, Marie Louise Werth
 turkey_1989,1989, Turkey, Pan, Bana Bana, 21, 5,,,,, TRT, Timur Selçuk, Timur Selçuk
 united kingdom_1989,1989, United Kingdom, Live Report, Why Do I Always Get It Wrong, 2, 130,,,,, BBC, John Beeby, Brian Hodgson
 yugoslavia_1989,1989, Yugoslavia, Riva, Rock Me, 1, 137,,,,, JRT, Rajko Dujmić, Stevo Cvikić
 austria_1990,1990, Austria, Simone, Keine Mauern Mehr, 10, 58,,,,, ORF," Marc Berry, Nanna Berry", Mario Botazzi
 belgium_1990,1990, Belgium, Philippe Lafontaine, Macédomienne, 12, 46,,,,, RTBF, Philippe Lafontaine, Philippe Lafontaine
 cyprus_1990,1990, Cyprus, Haris Anastasiou, Milas Poli, 14, 36,,,,, CyBC, John Vickers, Haris Anastasiou
 denmark_1990,1990, Denmark, Lonnie Devantier, Hallo Hallo, 8, 64,,,,, DR," John Hatting, Torben Lendager", Keld Heick
 finland_1990,1990, Finland, Beat, Fri?, 21, 8,,,,, YLE," Kim Engblom, Janne Engblom, Tina Krause", Stina Engblom
 france_1990,1990, France, Joelle Ursull, White And Black Blues, 2, 132,,,,, A2F, Georges Ougier de Moussac, Serge Gainsbourg
 germany_1990,1990, Germany, Chris Kempers and Daniel Kovac, Frei Zu Leben, 9, 60,,,,, ARD, Ralph Siegel, Michael Kunze
 greece_1990,1990, Greece, Christos Callow and Wave, Horis Skopo, 19, 11,,,,, ERT, Yiorgos Palaiokastritis, Yiorgos Palaiokastritis
 iceland_1990,1990, Iceland, Stjórnin, Eitt Lag Enn, 4, 124,,,,, RÚV, Hörður G. Ólafsson, Aðalsteinn Ásberg Sigurðsson
 ireland_1990,1990, Ireland, Liam Reilly, Somewhere In Europe, 2, 132,,,,, RTÉ, Liam Reilly, Liam Reilly
 israel_1990,1990, Israel, Rita, Shara Barechovot, 18, 16,,,,, IBA, Rami Kleinstein, Tzruya Lahav
 italy_1990,1990, Italy, Toto Cutugno, Insieme: 1992, 1, 149,,,,, RAI, Salvatore 'Toto' Cutugno, Salvatore 'Toto' Cutugno
 luxembourg_1990,1990, Luxembourg, Céline Carzo, Quand Je Te Rêve, 13, 38,,,,, CLT, Jean-Charles France, Thierry Delianis
 netherlands_1990,1990, Netherlands, Maywood, Ik Wil Alles Met Je Delen, 15, 25,,,,, NOS, Alice May, Alice May
 norway_1990,1990, Norway, Ketil Stokkan, Brandenburger Tor, 21, 8,,,,, NRK, Ketil Stokkan, Ketil Stokkan
 portugal_1990,1990, Portugal, Nucha, Há Sempre Alguém, 20, 9,,,,, RTP," Jan van Dijck, Luis Filipe"," Fancisco Teotonio Pereira, Frederico Teotonio Pereira"
 spain_1990,1990, Spain, Azúcar Moreno, Bandido, 5, 96,,,,, TVE," Raúl Orellana, Jaime Stinus", José Luis Abel
 sweden_1990,1990, Sweden, Edin-Ådahl, Som En Vind, 16, 24,,,,, SVT, Mikael Wendt, Mikael Wendt
 switzerland_1990,1990, Switzerland, Egon Egemann, Musik Klingt In Die Welt Hinaus, 11, 51,,,,, SSR SRG, Cornelia Lackner, Cornelia Lackner
 turkey_1990,1990, Turkey, Kayahan, Gözlerinin Hapsindeyim, 17, 21,,,,, TRT, Kayahan, Kayahan
 united kingdom_1990,1990, United Kingdom, Emma, Give A Little Love Back To The World, 6, 87,,,,, BBC, Paul Curtis, Paul Curtis
 yugoslavia_1990,1990, Yugoslavia, Tajci, Hajde Da Ludujemo, 7, 81,,,,, JRT, Zrinko Tutić, Alka Vuica
 austria_1991,1991, Austria, Thomas Forstner, Venedig Im Regen, 22, 0,,,,, ORF," Robby Musenbichler, Hubert Moser, Wolfgang Eltner"," Robby Musenbichler, Hubert Moser, Wolfgang Eltner"
 belgium_1991,1991, Belgium, Clouseau, Geef Het Op, 16, 23,,,,, BRT," Kris Wauters, Jan Leyers, Koen Wauters, Bob Savenberg"," Kris Wauters, Jan Leyers, Koen Wauters, Bob Savenberg"
 cyprus_1991,1991, Cyprus, Elena Patroclou, S.o.s., 9, 60,,,,, CyBC, Kypros Charalambus, Andreas Christou
 denmark_1991,1991, Denmark, Anders Frandsen, Lige Der Hvor Hjertet Slår, 19, 8,,,,, DR, Michael Elo, Michael Elo
 finland_1991,1991, Finland, Kaija, Hullu Yö, 20, 6,,,,, YLE, Ile Kallio, Jukka Välimaa
 france_1991,1991, France, Amina, C'est Le Dernier Qui A Parlé Qui A Raison, 2, 146,,,,, A2F, Wasis Diop, Amina
 germany_1991,1991, Germany, Atlantis 2000, Dieser Traum Darf Niemals Sterben, 18, 10,,,,, ARD, Alfons Weindorf, Helmut Frey
